
0x1F95C	너트,땅콩,
0x1F35E	덩어리,
0x1F950	크로와상,
0x1F95E	크레페,핫케잌,팬케이크,
0x1F357	가금류,
0x1F953	베이컨,
0x1F355	일부분,
0x1F32D	핫도그,소시지,
0x1F32F	덮개,
0x1F95A	달걀,
0x1F373	프라이팬,팬,
0x1F958	캐서롤,빠에야,
0x1F372	스튜,
0x1F957	샐러드,
0x1F37F	팝콘,
0x1F371	도시락,
0x1F358	크래커,
0x1F359	주먹밥,
0x1F35B	카레,
0x1F35C	그릇,국수,라면,
0x1F35D	파스타,
0x1F362	해산물,꼬치,스틱,
0x1F365	소용돌이,
0x1F361	막대기,
0x1F36D	사탕,
0x1F36E	푸딩,
0x1F36F	허니팟,
0x1F375	컵,찻잔,
0x1F376	음주,
0x1F37E	터지는,
0x1F37B	클링크,
0x1F942	축하하다,
0x1F943	주류,텀블러,위스키,
0x1F37D	플레이트,
0x1F944	숟가락,식기류,
0x1F52A	호쵸,
0x1F30F	아시아,호주,
0x1F310	경락,
0x1F5FA	지도,
0x1F30B	분화,
0x1F5FB	후지,
0x1F3D5	캠핑,
0x1F3D6	해변,
0x1F3DD	섬,
0x1F3DE	공원,
0x1F3DF	경기장,
0x1F3DB	고전,
0x1F3D7	건축구조,
0x1F3D8	주택들,
0x1F3D9	시티,
0x1F3DA	외딴,
0x1F3E0	홈,
0x1F3E2	건물,
0x1F3E3	게시하다,
0x1F3EA	편리,저장,
0x1F3EC	부서,
0x1F3EF	성,
0x1F492	예배당,로맨스,
0x1F5FC	도쿄,탑,
0x1F5FD	여신상,
0x26EA	기독교,
0x1F54C	무슬림,이슬람교,
0x1F54D	유태인,신전,
0x26F2	분수,
0x1F301	안개,
0x2668	핫스팟,스프링스,
0x1F3A1	페리스,
0x1F3A2	코스터,롤러,
0x1F3AA	서커스,텐트,
0x1F5BC	프레임,
0x1F3B0	게임,슬롯,
0x1F682	엔진,철도,증기,기차,
0x1F683	전차,
0x1F684	신간선,속도,
0x1F685	총알,
0x1F687	지하철,
0x1F69D	차량,
0x1F68B	트램,
0x1F68D	버스,
0x1F68E	트롤리,
0x1F692	화재,트럭,
0x1F693	순찰,
0x1F696	택시,
0x1F699	레크리에이션,
0x1F69A	배달트럭,
0x1F69B	트레일러트럭,
0x1F6F4	스쿠터,
0x1F6F5	모터,
0x1F68F	중지,
0x1F6E3	고속도로,도로,
0x1F6A5	신호,교통,
0x1F6A7	장벽,
0x1F6D1	팔각형,서명,
0x1F6E5	기선,
0x1F6EB	출발,
0x1F6EC	도착,착륙,
0x1F4BA	의자,
0x1F69F	현탁,
0x1F6A0	케이블,곤돌라,
0x1F6A1	공중,
0x1F6AA	문,
0x1F6CB	소파,램프,
0x231B	모래시계,
0x231A	손목시계,
0x1F55B	12시,열두시,자정,정오,
0x1F567	열두시반,
0x1F550	한시,1시,
0x1F55C	한시반,1시반,
0x1F551	두시,2시,
0x1F55D	두시반,2시반,
0x1F552	세시,3시,
0x1F55E	세시반,3시반,
0x1F553	네시,4시,
0x1F55F	네시반,4시반,
0x1F554	다섯시,5시,
0x1F560	다섯시반,5시반,
0x1F555	여섯시,6시,
0x1F561	여섯시반,6시반,
0x1F556	일곱시,7시,
0x1F562	일곱시반,7시반,
0x1F557	여덟시,8시,
0x1F563	여덟시반,8시반,
0x1F558	아홉시,9시,
0x1F564	아홉시반,9시반,
0x1F559	열시,10시,
0x1F565	열시반,10시반,
0x1F55A	열한시,11시,
0x1F566	열한시반,11시반,
